//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 2.93706E+02	 1.39238E+03
 2.96565E+02	 1.38662E+03
 2.99422E+02	 1.39198E+03
 3.02279E+02	 1.39166E+03
 3.05135E+02	 1.39358E+03
 3.07989E+02	 1.39176E+03
 3.10843E+02	 1.39094E+03
 3.13695E+02	 1.38912E+03
 3.16547E+02	 1.39206E+03
 3.19398E+02	 1.39030E+03
 3.22247E+02	 1.38920E+03
 3.25096E+02	 1.39458E+03
 3.27944E+02	 1.39014E+03
 3.30790E+02	 1.39032E+03
 3.33636E+02	 1.39366E+03
 3.36481E+02	 1.38840E+03
 3.39324E+02	 1.39306E+03
 3.42167E+02	 1.39314E+03
 3.45009E+02	 1.39890E+03
 3.47850E+02	 1.39858E+03
 3.50689E+02	 1.40016E+03
 3.53528E+02	 1.40072E+03
 3.56366E+02	 1.40146E+03
 3.59203E+02	 1.40060E+03
 3.62039E+02	 1.40060E+03
 3.64874E+02	 1.40508E+03
 3.67708E+02	 1.40390E+03
 3.70541E+02	 1.41058E+03
 3.73373E+02	 1.41568E+03
 3.76204E+02	 1.41564E+03
 3.79034E+02	 1.41812E+03
 3.81863E+02	 1.42072E+03
 3.84691E+02	 1.41526E+03
 3.87518E+02	 1.41020E+03
 3.90344E+02	 1.40058E+03
 3.93169E+02	 1.39350E+03
 3.95993E+02	 1.39196E+03
 3.98816E+02	 1.39572E+03
 4.01639E+02	 1.39334E+03
 4.04460E+02	 1.39412E+03
 4.07280E+02	 1.39744E+03
 4.10099E+02	 1.39872E+03
 4.12918E+02	 1.39794E+03
 4.15735E+02	 1.39766E+03
 4.18552E+02	 1.40430E+03
 4.21367E+02	 1.40428E+03
 4.24181E+02	 1.40594E+03
 4.26995E+02	 1.40844E+03
 4.29808E+02	 1.41196E+03
 4.32619E+02	 1.41226E+03
 4.35430E+02	 1.41226E+03
 4.38239E+02	 1.41342E+03
 4.41048E+02	 1.41570E+03
 4.43856E+02	 1.40974E+03
 4.46662E+02	 1.40710E+03
 4.49468E+02	 1.40570E+03
 4.52273E+02	 1.40362E+03
 4.55077E+02	 1.40658E+03
 4.57880E+02	 1.40902E+03
 4.60682E+02	 1.40608E+03
 4.63483E+02	 1.40278E+03
 4.66283E+02	 1.40018E+03
 4.69082E+02	 1.39996E+03
 4.71880E+02	 1.39960E+03
 4.74677E+02	 1.39558E+03
 4.77473E+02	 1.39992E+03
 4.80268E+02	 1.39732E+03
 4.83063E+02	 1.39792E+03
 4.85856E+02	 1.39948E+03
 4.88648E+02	 1.39862E+03
 4.91440E+02	 1.39612E+03
 4.94230E+02	 1.39378E+03
 4.97020E+02	 1.39050E+03
 4.99808E+02	 1.38258E+03
 5.02596E+02	 1.37992E+03
 5.05383E+02	 1.37884E+03
 5.08168E+02	 1.37432E+03
 5.10953E+02	 1.37568E+03
 5.13737E+02	 1.37386E+03
 5.16520E+02	 1.37410E+03
 5.19301E+02	 1.37302E+03
 5.22082E+02	 1.37426E+03
 5.24862E+02	 1.37078E+03
 5.27641E+02	 1.36646E+03
 5.30420E+02	 1.36560E+03
 5.33197E+02	 1.36138E+03
 5.35973E+02	 1.35958E+03
 5.38748E+02	 1.35782E+03
 5.41522E+02	 1.35834E+03
 5.44296E+02	 1.35578E+03
 5.47068E+02	 1.35326E+03
 5.49840E+02	 1.35574E+03
 5.52610E+02	 1.35224E+03
 5.55380E+02	 1.34952E+03
 5.58148E+02	 1.35126E+03
 5.60916E+02	 1.34928E+03
 5.63683E+02	 1.35170E+03
 5.66449E+02	 1.34684E+03
 5.69214E+02	 1.34490E+03
 5.71978E+02	 1.34418E+03
 5.74741E+02	 1.34522E+03
 5.77503E+02	 1.34234E+03
 5.80264E+02	 1.34424E+03
 5.83024E+02	 1.34360E+03
 5.85783E+02	 1.34390E+03
 5.88542E+02	 1.34040E+03
 5.91299E+02	 1.34434E+03
 5.94055E+02	 1.34186E+03
 5.96811E+02	 1.33948E+03
 5.99566E+02	 1.33900E+03
 6.02319E+02	 1.33772E+03
 6.05072E+02	 1.33870E+03
 6.07824E+02	 1.33942E+03
 6.10575E+02	 1.33932E+03
 6.13324E+02	 1.33794E+03
 6.16073E+02	 1.33586E+03
 6.18821E+02	 1.33542E+03
 6.21569E+02	 1.33630E+03
 6.24315E+02	 1.33512E+03
 6.27060E+02	 1.33460E+03
 6.29804E+02	 1.33046E+03
 6.32548E+02	 1.33188E+03
 6.35290E+02	 1.33042E+03
 6.38032E+02	 1.33128E+03
 6.40772E+02	 1.33000E+03
 6.43512E+02	 1.32842E+03
 6.46251E+02	 1.32856E+03
 6.48989E+02	 1.32824E+03
 6.51726E+02	 1.32708E+03
 6.54462E+02	 1.32650E+03
 6.57197E+02	 1.32418E+03
 6.59931E+02	 1.32564E+03
 6.62664E+02	 1.32508E+03
 6.65397E+02	 1.32362E+03
 6.68128E+02	 1.32456E+03
